sheet,T_K,species,class,log10P_workbook,log10P_shadow,envelope_status,gas_channel_in_domain,refusal_code
tho,1500,O2,UNGATEABLE,-7.3156134022296762,-7.3155972985820839,inside,,
tho,1500,Mg,EXTRAPOLATED-INFORMATIONAL,-12.442387665840535,-13.005820807518814,inside,False,
tho,1500,SiO,EXTRAPOLATED-INFORMATIONAL,-11.880816719212318,-11.367033882465208,inside,False,
tho,1500,SiO2,EXTRAPOLATED-INFORMATIONAL,-11.975023257969793,-12.205964897683112,inside,False,
tho,1500,Fe,EXTRAPOLATED-INFORMATIONAL,-10.179464308400309,-10.317883403703766,inside,False,
tho,1500,FeO,EXTRAPOLATED-INFORMATIONAL,-10.295270866690846,-10.651274865747617,inside,False,
tho,1500,Na,K-NA-INFORMATIONAL,-6.7313466883036792,-8.1011465964711835,inside,True,
tho,1500,K,K-NA-INFORMATIONAL,-8.0261317974928907,-10.266554881295212,inside,True,
tho,1625,O2,UNGATEABLE,-6.4216431158976013,-6.4217132575869584,inside,,
tho,1625,Mg,EXTRAPOLATED-INFORMATIONAL,-11.017648158528466,-11.381006659267726,inside,False,
tho,1625,SiO,EXTRAPOLATED-INFORMATIONAL,-10.280200027423611,-9.7166398736843629,inside,False,
tho,1625,SiO2,EXTRAPOLATED-INFORMATIONAL,-10.52669831977486,-10.642905473456095,inside,False,
tho,1625,Fe,EXTRAPOLATED-INFORMATIONAL,-8.938136794198833,-8.9750967347267814,inside,False,
tho,1625,FeO,EXTRAPOLATED-INFORMATIONAL,-9.1071119204971502,-9.3164223228647369,inside,False,
tho,1625,Na,K-NA-INFORMATIONAL,-5.8369272229751576,-7.1961319456870338,inside,True,
tho,1625,K,K-NA-INFORMATIONAL,-7.091737332466491,-9.3529594511992968,inside,True,
tho,1750,O2,UNGATEABLE,-5.6518196006029475,-5.6517231195442577,inside,,
tho,1750,Mg,FAIL,-9.8027051034996102,-10.01119670243442,inside,False,
tho,1750,SiO,FAIL,-8.8975577182879793,-8.3114781433202527,inside,False,
tho,1750,SiO2,FAIL,-9.272810061730306,-9.309176471407973,inside,False,
tho,1750,Fe,FAIL,-7.878213055879205,-7.8362214350532211,inside,False,
tho,1750,FeO,FAIL,-8.0909796812940833,-8.1833934377041988,inside,False,
tho,1750,Na,K-NA-INFORMATIONAL,-5.0651972452595393,-6.4205470789702863,inside,True,
tho,1750,K,K-NA-INFORMATIONAL,-6.2952038429878101,-8.5687288329541946,inside,True,
tho,1875,O2,UNGATEABLE,-4.9828063354122873,-4.9828017005662559,inside,,
tho,1875,Mg,FAIL,-8.7555106093354098,-8.8449588318890839,inside,False,
tho,1875,SiO,FAIL,-7.6903866511664587,-7.100544306727401,inside,False,
tho,1875,SiO2,PASS,-8.176309590333533,-8.1580477831107352,inside,False,
tho,1875,Fe,FAIL,-6.9633144265198501,-6.8596089684540269,inside,False,
