T_K,species,composition_ref,source,anchor_class,log10P_anchor,log10P_model,residual,status,model_side,note
1500.0,Na,SF04-tho,Schaefer2004-MAGMA-valid.xlsx sheet=tho,model_model_MAGMA,-6.73135,-6.78013,-0.048785,ungateable,live_VapoRock_JANAF_fO2=MAGMA_O2,MAGMA-native printed grid cell; k=5 model-model; fO2 pinned to MAGMA O2(g) polyfit (SF04 notebook protocol)
1500.0,K,SF04-tho,Schaefer2004-MAGMA-valid.xlsx sheet=tho,model_model_MAGMA,-8.02613,-7.80041,0.22572,ungateable,live_VapoRock_JANAF_fO2=MAGMA_O2,MAGMA-native printed grid cell; k=5 model-model; fO2 pinned to MAGMA O2(g) polyfit (SF04 notebook protocol)
1500.0,SiO,SF04-tho,Schaefer2004-MAGMA-valid.xlsx sheet=tho,model_model_MAGMA,-11.8808,-11.1377,0.743081,ungateable,live_VapoRock_JANAF_fO2=MAGMA_O2,MAGMA-native printed grid cell; k=5 model-model; fO2 pinned to MAGMA O2(g) polyfit (SF04 notebook protocol)
1500.0,Fe,SF04-tho,Schaefer2004-MAGMA-valid.xlsx sheet=tho,model_model_MAGMA,-10.1795,-9.69301,0.486451,ungateable,live_VapoRock_JANAF_fO2=MAGMA_O2,MAGMA-native printed grid cell; k=5 model-model; fO2 pinned to MAGMA O2(g) polyfit (SF04 notebook protocol)
1500.0,FeO,SF04-tho,Schaefer2004-MAGMA-valid.xlsx sheet=tho,model_model_MAGMA,-10.2953,-10.0262,0.269052,ungateable,live_VapoRock_JANAF_fO2=MAGMA_O2,MAGMA-native printed grid cell; k=5 model-model; fO2 pinned to MAGMA O2(g) polyfit (SF04 notebook protocol)
1500.0,Mg,SF04-tho,Schaefer2004-MAGMA-valid.xlsx sheet=tho,model_model_MAGMA,-12.4424,-12.1241,0.318251,ungateable,live_VapoRock_JANAF_fO2=MAGMA_O2,MAGMA-native printed grid cell; k=5 model-model; fO2 pinned to MAGMA O2(g) polyfit (SF04 notebook protocol)
1500.0,O2,SF04-tho,Schaefer2004-MAGMA-valid.xlsx sheet=tho,model_model_MAGMA,-7.31561,-7.3156,1.61036e-05,ungateable,live_VapoRock_JANAF_fO2=MAGMA_O2,MAGMA-native printed grid cell; k=5 model-model; fO2 pinned to MAGMA O2(g) polyfit (SF04 notebook protocol)
1500.0,SiO2,SF04-tho,Schaefer2004-MAGMA-valid.xlsx sheet=tho,model_model_MAGMA,-11.975,-11.9765,-0.0014863,ungateable,live_VapoRock_JANAF_fO2=MAGMA_O2,MAGMA-native printed grid cell; k=5 model-model; fO2 pinned to MAGMA O2(g) polyfit (SF04 notebook protocol)
1625.0,Na,SF04-tho,Schaefer2004-MAGMA-valid.xlsx sheet=tho,model_model_MAGMA,-5.83693,-5.85662,-0.0196938,ungateable,live_VapoRock_JANAF_fO2=MAGMA_O2,MAGMA-native printed grid cell; k=5 model-model; fO2 pinned to MAGMA O2(g) polyfit (SF04 notebook protocol)
1625.0,K,SF04-tho,Schaefer2004-MAGMA-valid.xlsx sheet=tho,model_model_MAGMA,-7.09174,-6.83101,0.260731,ungateable,live_VapoRock_JANAF_fO2=MAGMA_O2,MAGMA-native printed grid cell; k=5 model-model; fO2 pinned to MAGMA O2(g) polyfit (SF04 notebook protocol)
1625.0,SiO,SF04-tho,Schaefer2004-MAGMA-valid.xlsx sheet=tho,model_model_MAGMA,-10.2802,-9.49175,0.788449,ungateable,live_VapoRock_JANAF_fO2=MAGMA_O2,MAGMA-native printed grid cell; k=5 model-model; fO2 pinned to MAGMA O2(g) polyfit (SF04 notebook protocol)
